text,label_ids
"22	summer infant day and night handheld color video monitor with 1 . 8 "" screen silver its a great monitor and we have thoroughly enjoyed having it until the video shut down and finally the whole unit stopped working . the battery pack in it went kapfloie and our daughter is only 5 weeks old ! the monitor cannot be used while hooked up to ac it works while on battery mode only . it must be charged regularly , and after a short time the batteries could no longer hold a charge . if you open the back of the monitor to check the battery pack it clearly states , "" use only original battery pack . warranty void if other batteries are used . "" a replacement battery pack is 30 35 , but i do n't want to have to buy a replacement every 2 months for a warranty less monitor ! ? ! that would be the price of a whole new monitor over the course of a year ! grumble .",[315]
"23	spider stompin extremely disappointed with this toy . i found this toy to be very difficult to use . initially , i thought my four year old did not weigh enough to really quot stomp quot the spiders , but even after i tried to play ( i weigh 150 pounds ) , i found that i rarely got a score for stomping the spiders . also , the games are set up on a 30 second cycle . this is barely time for a youngster to start playing the game , let alone enough time to stomp a few spiders . i tried the game on a hard surface with very little improvement in its performance . my son really enjoys the quot chuckie cheese quot version of this game with the rounded stompers and the pictures of spiders , but got extremely frustrated with the quot at home quot version . i rated it 1 star for fun , since there is n't a rating below one . two stars for educational since it would be if it worked and five stars for durability since we could n't make a dent on the game itself .","[514, 108, 301, 182]"
"24	omron hem 780 automatic blood pressure monitor with comfit cuff we have used a different kind of blood pressure monitor from the samemanufacturer , but omron hem 780 is easy to use and seems to be moreaccurate .",[]
"25	polly pocket stylin' pose 8482 polly actually , that 's a little harsh . this is actually a toy in the spirit of those barbie hair styling heads . however , polly is smaller than barbie , so in order to style her hair , they made her about 15 inches tall , and posed her in a sitting position on top of a purple flower . the doll head is nice and attractive , but it 's really more of an ornament to look at , since the doll ca n't be moved . it has no joints ( well , the head turns from side to side and the arms move a little to allow a girl to put on polly 's nail polish ( water ) . the head on the doll is adorable , and i wish that someone at mattel would take the head and put it on a 15 inch tall body with movable joints and plenty of posing action . until they actually come out with jumbo sized polly pocket ( i am well aware that this is an oxymoron . ) , this would be the next best thing .",[187]
"26	uncle goose classic embossed alphabet blocks abc in selecting toys for our 8 mo ( now almost 10 mo ) daughter , we wanted to have fewer toys that grow with her and are visually appealing . blocks allow for free play , however all the ones we found were small , cheaply made , or had reviews that discussed splinters and paint chips and overall poor quality . we debated for a while because of the price . we could n't be happier . she loves them . we love them . they are beautifully made , engraved on multiple sides , painted with non toxic ink and not sealed ( a good thing the eventual wear and tear is better than sucking on chemical sealants ) . she ( and we ) plays with them every day we build towers we make words , we talk about the animals printed on the side and they make a beautiful sound when clapped together . they are consistent in size and shape ( which should not be surprising in blocks , but surprisingly it is ) so building complex towers , including ones that can be loudly dismantled by selecting the single point of failure . with babies architectural value is in the quality of creative destruction not in the stability of the construction . so far the theory of fewer toys of higher is serving us well . rather than 4 or 5 toys for the same money we have one set that we love ... and there 's less to clean up !","[29, 372, 301, 278]"
"27	bulls eye ball my son asked for this on his christmas list but ended up getting it as a birthday present instead . i try to research everything i buy just so we do n't end up getting something that is shoved in a closet somewhere , i must say this toy is fun , me and my kids compete to see who can get the most points , in a way it reminds me of skee ball only instead of rolling the ball you bounce it , its seems pretty durable except for the mesh type of trampoline ? the metal balls bounce on , i have n't had any problems but i can see it possibly ripping , but i would say just the time we have spent on it and the enjoyment is well worth the money ... go ahead and give it a try moms and dads .",[340]
"28	contour eye mask i 've used the "" old "" style non contoured silk eye masks for years now but they are quite irritating to my eyes to have something pressing against them , and for years that i 've been using them , i constantly fight with them to adjust them to try to make them comfortable and allow me to go to sleep , so i saw this one and bought it thinking this is the be all , end all last mask i 'll have to buy . unfortunately that is not so , for me there is still pressure in the wrong places around my eyes and i 've had to go back to the old flat non contoured eye masks until i can find another contoured mask that works for me . i attribute this masks failure to work for me due to my size . i am a large person and have a large head ( john wayne has nothing on my stetson hat size ) , and this might not be a good solution for others that are not "" average "" size beings .",[241]
"29	now candida clear vegetarian capsules my personal physician recommended it and i bought at goo . gl wa7ai , with 10 off and free samples . great stuff ! ! ! ! ! i was told the enormous benifit of oregano",[]
"30	diva cup diva cup 2 post childbirth this is my second diva cup . i had to buy the second one after i had my daughter . i was n't sure it was going to work , but it works like a charm ! i highly recommend the dive cup .",[]
"31	van ness cp7 enclosed cat pan litter box , extra large , colors are assorted my husband wanted to buy the 300 cat box , because he was sick of the smell , above all else . i decided to buy the van ness box and see if we can spare the 300 . van ness box is awesome . we have 2 cats and there is virtually no smell now , i love it . the swinging door was a little too low , so i cut off half an inch , and it does n't get stuck anymore . good product .",[]
32	playtex drop ins original bpa free nurser newborn starter set the original nursers enabled me to return to work after a long maternity leave . my baby would n't take the bottle until i introduced the brown rubber nipple . thanks mom .,[182]
"33	isatori mx ls7 120 capsules i have tried several fat burners , this one works better for meit helped me get my bfp to 25 down from31 . no stomach issues either .",[]
"34	quercetti super marble run vortis , 224 pieces i am not very impressed by this marble run . for one , it 's not very sturdy , and two , the marbles fly off the track in several places and get stuck in others . i would recommend you look elsewhere for a marble run , just my opinion .",[]
"35	fisher price cradle 'n swing i ordered this swing after my original papasan swing , in the nature 's touch pattern ( model m5584 ) , lost its swing motor . a new motor was more than half of the cost of this swing , and the new motor would n't match my old swing , so i decided just to purchase new . my daughter , who is nearly 5 months , likes to sleep in this swing . she had been content to sleep in it without the swing function as long as we manually swung her to sleep ) . however , i thought it best that we replace the swing as soon as we were able . the price on amazon was much better than any other retailer , plus as an amazon mom and amazon prime member , i received free shipping . no other retailer came close . even the swings that i looked at on ebay , in used condition , were close to amazon 's new price ( item price shipping ) , so why would you buy used ? the swing was easy to put together and i was able to assemble it quickly . the pad and toys are machine washable and dried quickly on the low setting in my dryer . first , the parts i was disappointed with . i debated between this and the butterfly garden version of this swing . as much as i loved the pink , i decided to buy the more neutral color scheme . however , it 's much more blue than it appears in photos , and to me it looked much more boyish than a neutral color palette . as compared to my previous swing , the fabric is not as nice ( the older swing had a suede like pillow ) , the plastic does n't seem to be the same quality ( cheaper construction ) , and i do n't like the purple controls against the beige motor housing . plus , i found the canopy to be useless and unnecessary . i ended up removing it so that i could more easily check on my daughter in the night . the parts that i did like","[29, 35, 339, 494, 215, 301, 334]"
"36	gillette atra plus lubra strip cataridge 10 ea these razor blades are hard to find in the store and when you do they are far too expensive . these are the real things ( not a knock off , i 've tried that and they really do n't work ) and at a good price . fast delivery too . why switch to a new razor with 3 , 4 , 5 blades . just more expensive and does n't shave any better . thanks for making these still available .",[]
"37	fake bake self tanning lotion this is the only self tanning product i 've ever used and with the results i got after the first application , i 'm never using anything else ever again ! i would recommend this to anyone really great product",[]
38	ebay electronic talking auction game i love this game ! my friend has it and whenever there is a group of 3 or 4 we just love to play it ! its so much fun ! ),[]
39	bernie beagle i bought this for my nephew who loves beagles and dogs in general . this was exactly what he wanted and loves it .,[]
40	flippity the blue bunny rabbit ty beanie buddies bought it for my niece on christmas . mother say 's through the phone that she loves her toy and she ca n't leave it alone .. she 's about 12 years old .,"[483, 278]"
"41	girl crush airbrush tattoo washable body art designer my friends and i are having so much fun with this toy ! it works great , but it takes longer than 20 seconds to dry . in the summer it 's going to be even better ! !","[494, 215]"
"42	royal copenhagen for men by royal copenhagen after shave i love this product . your site is the only place i can reasonably and easily find it . it is the only after shave that my husband likes and wears . it has been virtually non existent to find in stores anymore as i usually did for the last 30 years ................ thanks so much for having royal copanhagen on your site ............ it makes it so easy for me to get and very convenient . wish i did n't have to pay tax shipping handling as i did n't have to in stores , but i do understand the reason for it . thanx again for providing me with an easy way to continue to keep my husband happy and smelling fabulous ! i love it too ! ! sincerely , nancy johnson p.s . also thank you for providing the public with a fantastic source of shopping for all kinds of products .",[]
"43	cranberry tea by alvita 24 bags the tea bags are poorly perforated . you have to use extra special care to find the end of the tea bag and then very gingerly pull it apart so you do n't inadvertantly rip into the adjoining bag , wasting it .",[8]
"44	transformers g1 commemorative series i hot rod reissue figure ( rodimus major ) hot rod is my favorite transformers character of all time . when i was little i begged and begged my parents for hot rod for christmas , my birthday and every other holiday and i never did get him . finally upon high school graduation i got two gifts . one of which was a gibson les paul modeled after sully erna 's from godsmack and ... hot rod . bet you ca n't guess which was my favorite . i was super excited to get hot rod finally after waiting 15 fricken years . my grandma always told me "" dont worry you 'll find him one day "" ( i would make here sit down and watch transformers with me ... then later on actually got her into gundam ) i never did believe her . so .... this is a review 15 years in the making . hot rod transforms into a modified lamborghini countach , red with flames on the hood and sides ... and lets not forget the big yellow spoiler and chrome exaust pipes . before i actually get into this review i 'm pretending any transformers product that came out after g1 does not exist so i can give a better review . vehicle mode is really nice . rolls super well and like a lot of g1 figures holds into place very well . hot rod sports rubber wheels . i prefer that over plastic any day . i think it adds a more realistic touch . there is also a peg hole in the exposed engine block where you can peg in one of two weapons that hot rod comes with . i think it looks better with no weapons but that 's just me . vehicle mode is a little over scaled compared to optimus prime and ultra magnus but hot rod can easily fit on ultra magnus 's trailer . hot rod is also as screen accurate as you 're going to get . some of the g1 transformers transform ridiculously complex in the show and movie so hasbro had to compensate in both vehicle mode and robot mode . transformation is a breeze . simply pull the legs back and flip out the toes . flip the arms on each side so the exhaust pipes are parallel to the car . flip out the hood , rotate the engine block to reveal hot rods head and snap in place . next rotate his "" belt buckle "" around and bring the hood down to peg into the top of the belt buckle . rotate the spoiler cab section around so that the spoiler is behind hot rods shoulders . next just pose the arms and you 're done . pretty simple . robot mode ... to this day still looks awesome ! . there is n't that much poseability except in this elbows and wrists and mid bicept . head sculpt looks great . not like optimus prime 's where it vaguely resembles the actually head of the bot in the show . hot rods is pretty much dead on . both of hot rods weapons can be held . makes him look pretty bada too . overall this is a great figure . i am not being bias when i say that . this really is a must have for your collection . it 's a classic , a great looking car and robot ... well ... it 's hot rod . nuff said .","[480, 182, 255]"
"45	goldwell kerasilk rich care treatment ( select option size ) i have very thin , dry hair , and i 've always wanted to grow it long , but once it reached shoulder length , the ends would become brittle and dry , as well as frizzy . this conditioner has enabled me to grow my hair long while maintaining smoothness and shine ! i 'm not saying my hair looks like the hair on the pantene commercials , but it is softer , smoother and more manageable than with any other conditioner .","[64, 323, 524, 376]"
46	glyco flex iii ( 120 tablets ) they have a fair price and arrived as promised . i have ordered this probably four times now . our dog has not had any problems with the product . who knows if it really works .,[]
"47	pampers cruisers diapers i tried these diapers for the first time a week and a half ago , and now my son has the most severe rash that i 've ever seen . he never had any problems with the normal pampers but as soon as i switched hie broke out . i 've been putting cream on him , and that does n't even help . luckily he is going to the doctors tomorrow . i would n't have even know the cause , had there not been a news story today about this brand causing rashes in lots of babies . i will no longer be using pampers brand diapers .",[313]
"48	moom nourishing hair remover seeing all the great reviews , i decided to purchase this item . as instructed , i heated in 10 second intervals . product refused to heat up . after 40 seconds , it was suddenly too hot . it did not take all the hairs in area applied and took several times to get it completely hair free . only lasted two weeks and then i noticed some ingrown hairs . definitely would not purchase again .","[80, 448]"
"49	classic potato sacks sacks were smaller than i expected . the quality is ok , i expected it to be more durable for the price",[]
"50	nivea body milk 400ml i also wanted the superior european version of milk . same story with product switched for international version without vitamin e in a lilac colored pump bottle . am in the process of getting a product return authorization from them . they do not have any more of the german stuff . drat ! usually , european versions of cosmetic products , like clinique , are inferior to us . not in this case .",[313]
"51	block n roll 100 piece set got this for my younger boy , and he loves it ! works well with his old duplo sets , so now they 're seeing use again , too . the only negative is the fact that there are now often marbles in unexpected places ( particularly when i 'm barefoot funny , that ! of course , this is typical of my older boy 's legos , too ! lol ) he 's had the marble run set for a few months now , and it 's turned out to be a good investment . i would recommend it for anyone with kids . btw i realize that other reviews for this set have said that folks have gotten cut on the pieces we have not had this problem . i suspect that they 've corrected the problem , now .",[340]
"52	philosophy microdelivery peel pads i was really excited about this product with the one review it had . i 'm not impressed . i 've used it for 2 weeks straight . no difference in skin tone , texture , etc . it 's just sticky . do not put it on your neck ... ick ! waste of money ... i should have know better just to stick with my proactiv .",[]
"53	one pack of shocking gum , funny shock gag ( random color ) it worked great and was really cheap , the only thing was it ran out of juice after a week . it was nice while it lasted",[]
"54	fashion pet long john thermal xx small dog pajamas , red my little one is always a hit when he is wearing this ! wash and wear without any shrinking ! holds it 's color soft to the touch after many washings .","[241, 187]"
"55	body back buddy if you have trigger point pain this bodybuddy is what you need , reaches areas you ca n't . wish i had known about these years ago .",[]
"56	kettrike happy air navigator we bought the kettler air navigator for our son 's first birthday . after looking at a lot of different products we liked it the best . our son loves his tricycle ! it was worth every penny . the parental steering is great and switches over ealisly . because of his age we also purchased the seatbelt , this is a must . this is a good quality built item that will grow with our son .",[]
"57	euphoria cologne by calvin klein for men colognes this ck cologne is very attractive , yet it is not without problems . it has an unusual fragrance for men of lavander , roses , and cinnamon without it being not unquestionably manly . and this was an anchievement of sorts , as a flowery fragrance is typically associated with women . there exist two downsides , however . the first is that it does not hold very well , and the second plays off the first . it is slightly cloying . so i believe ck needs to refine this cologne and euphoria intense is not the answer . yet even still , this is an intriguing cologne , if not excellent , and meant for sporty informal events , school wear , or a night 's out , rather than for formal wear or the office .","[24, 242, 10, 220]"
"58	nfi consumer products blue emu emu oil , aloe , super strength , 4 ounce jar i have really stiff joints . i sit at a computer all day so when i do get up from my chair , my legs and shoulders just hurt . i just turned 50 so perhaps that has a lot to do with it . blue emu has helped a lot and the best part is that it 's odor free so i can put some on at the office and not smell like my grandmother used to smell ( may she continue to rest in peace ) . it 's not a miracle worker for me as i have to constantly reapply through the day , but it really does work so i will keep it around .",[]
"59	clif bar shot gel , vanilla 1 . 1oz ( 24 box ) this stuff tastes like chocolaty cookie dough . i really like it . 24 of these is a lot of little packets , so they 're good value . and , they 're little . i 'd never get even close to full on one of these , but they 're a great snack when i just want something small . probably the equivalent of a spoonful of cookie dough . most chocolate flavored nutritional stuff does n't even taste like chocolate , so i was surprised this actually tastes like chocolate . the "" litter leash "" feature is really cool , because this prevents you from getting rid of the top . it keeps the tiny part you usually discard , attached to the rest of it . i did n't realize that 's what the "" litter leash "" did until i looked carefully at the packet , so the first one of these i ate , i practically destroyed the whole thing . i thought it was super cool after , though .","[360, 355, 397]"
"60	scoopfree self cleaning litter box i bought this when the forever litter tray was available . just after that , the company that makes the litter box , went to court to keep the forever tray from being produced and sold . as a result , all you can buy for this are their disposable boxes which are very expensive and leak . who wants to have cat pee on their floors , that 's the whole reason we have litter boxes , to keep it off our floors . so , the product should either be updated to have a longer lasting leak proof tray available ( the producers have no plans to make the tray available themselves . ) or , the disposables should at the very least should not leak . very poor produce i would have given it no stars if possible .",[92]
"61	petmate hooded litter pan set large , black gray i have 7 adult cats ( persians ) and i think this is a great litter box . the high sides helps to keep the litter in the litter box if you own a cat that is really enthusiastic about digging . i have found no problem with the top not adhering to the bottom of the litter box , although i would never carry a litter box by its handle as with the litter in the litter box this makes the litter box way too heavy to depend on a handle . i do not snap the top onto the bottom of the litter box with the tabs as i like easy access to the box . much easier to pop off the top , scoop and then return the top to the litter box without latching the side tabs . the top sits fine on the bottom without the snap latches and do not fall off when a cat enters or exits the box . this litter box works well with kittens and with adults up to about 15 pounds . any cat larger than that would need a larger sized litter box . i have used these litter boxes for over 5 years now and i highly recommend it to those cat owners of cats 15 pounds or less .",[270]
"62	peek multi purpose 5 . 3 ounce metal polish mousse with the shelfspace all the different cleaners often take up in our homes , it 's refreshing to see a product like peek . what 's more , it is highly recommended throughout europe and relatively new here . peek as you can read from the description , cleans a multitude of surfaces . what you do n't read is how incredibly long it lasts and just how much it outperforms other products . for instance , i used peek on my gold wedding ring to start with and the thing has never looked so good since the day my husband bought it . next , i tried what could have been a tougher task in polishing an old copper pot that was close to turning green . again , peek exceeded expectations . in comparison to other products , i no longer need one for silver , one for gold , one for brass , let alone the bunch that are used on laminate surfaces , ceramics , etc . finally , my husband used peek on his boat since the manufacturer claims it can be used on fiberglass and gelcoat . not only did it restore the fiberglass to a new finish , but it also removed all clouding from the plexiglass and glass ! i have n't tried all the uses for peek , but i will eventually . so far as a downside , i would say that peek is n't recommended for "" fake "" metals like cheap brass . these metals have only a thin paint like layer of the metal and peek may take it off . for these surfaces , however , soap and water should be enough . in conclusion , what makes peek such an interesting product is that the manufacturer has taken the time to gain significant endorsements . things like usda nsf approval , passing tests by manufacturers such as genecos and wilsonart , and even catering to the queen of england . when i contacted the manufacturer to learn more about the product ( which they are easy to contact peek peekpolish . com ) they shared their latest news that in 2005 they received the british royal warrant for their product line allowing them to display the royal coat of arms on future peek products . a peek product should definitely be in every home .","[16, 204, 516]"
"63	farouk chi 1 inch ceramic flat hairstyling iron i really recommend this product . the price on amazon was a lot better than i could find in any store . the product arrived ahead of expected delivery time . it works really well , its quick to heat up and does a really good job of smoothing down my thick hair !",[80]
64	extra control collar for smart dog 5 acre system great prodeuct at a great price . we needed to replace both of our old units and was able to get two for the price of one at amazon . com . love saving some cash ! !,[]
"65	vittles vault ii 40 pound clear base cranite top i bought two vittles vault iis to store dog food for my puppies . it arrived today , one in tact , but the other one arrived cracked . amazon was great and is sending me a replacement right away , but i wonder if the plastic is not too thin , weak or brittle . i am guessing the plastic wo n't hold up too well over time .",[]
"66	pretika st197 lightsonic pulsating light therapy system was a bit disappointed in this item as i thought the leds wouldactually pulsate with i.e . 'frequency' . they do not , as the devicejust gently vibrates like a massager . but still useful .",[]
"67	haribo gummi candy , fruit salad , 5 pound bag this is a delicious haribo product with nice fruity flavors . the only thing that would make it better is if they added the pink grapefruit to the mix , which is still our favorite .",[340]
"68	bodum yoyo 13 ounce tea infuser set it comes with a lid , but the lid ca n't fully cover the mug . how can you take tea without a fit lid ?",[8]
"69	joyva chocolate covered halvah bar 3.5 oz . this made my moms christmas , a long lost favrite she had n't seen in years since she moved from ny .",[355]
"70	optimum nutrition zma zma helps increase your testosterone levels while you sleep . make you take it on an empty stomach with no calcium . it is best to take it 30 minutes before you fall asleep to get maximum effect . this supplement also helps you sleep better and recover sooner from your training . i follow abc bodybuilding 's article on the window of opportunity . please keep in mind that it is a guide , not a dogma . do what feels right and what works for you . the window of opportunity is a post workout shake that i used when i put on over 30 pounds of muscle within 3 months . my bench went from 215 pounds to 450 , body fat from 7 to 3 , and mile time from 6 minutes to 5 . it works . here are the quick basics , although you definitely must read the article yourself . after the work out , you should consume . 22 gram of protein per pound of bodyweight and 5 grams of carbohydrate ( half dextrose , half maltodextrin ) per 10 pounds of lean muscle mass for bulking , or 2.5 grams of carbohydrate ( half dextrose , half maltodextrin ) per 10 pounds of lean muscle mass for cutting . you should also consume 5 10 grams of creatine , 5 10 grams of glutamine , and a multi anti oxidant formula . all this must be done over a 45 60 minute period . the 45 60 minute sequence is vital step one blend 1 3 protein ( experiment to find the exact number for you ) , 1 3 dextrose ( simple sugar ) , and 1 3 maltodextrin ( complex sugar ) with enough water ( water should be at least 92 of the total mixture ) . add 500 mg of sodium per liter of water used . shake the ingredients well . put creatine powder in your mouth ( 5 10 grams when starting , 2 . 5 5 grams once body is saturated with creatine ) and drink the shake to wash the creatine down . it is better to do this than to mix the creatine in water , as that makes creatine lose its potency . drink one half of the shake within 5 minutes of working out . after this 5 minutes , allow an additional 10 15 minutes for the solution to settle in your stomach . step 2 after the solution has dissolved in your stomach for 10 15 minutes , consume 5 10 grams of glutamine and your multi vitamin ( life force ) with one gulp of the shake . continue to drink the remaining half of the shake for the following 30 45 minute period . it is vital to drink small sips of your shake for the entire 30 45 minute period . this allows for maximum absorption rate of the nutrients into your body . step 3 take fish oil with a meal , preferably at breakfast . take zma on an empty stomach , 30 minutes before you go to sleep .","[128, 129, 482, 355, 514, 456, 458, 280, 313, 350]"
71	bugs on board my son loves looking at the bugs . the colors really catch his eye and he 's fascinated with how they hang above him .,[]
"72	luna bars , 1 . 69 ounce bars i love lemon flavoring these bars are so tasty and different from others on the market . i am getting ready to reorder !",[]
"73	webkinz trading card game tcg booster pack came so quickly did n't get any good prizes when i entered the code ! oh well , good price . do n't recommend because there is one code in the pack .",[]
"74	slushee maker if directions are followed correctly i believe that you will get the expected results , especially if you keep in mind that it is a twenty dollar kids toy . i made slushees with no difficulty at all , and much to my surprise just one batch was enough for all four of my kids . i would say that if one of your children wants this toy , it is definitely worth it ! !","[340, 455]"
"75	passion cologne for men by elizabeth taylor this is my favorite cologne for men . i got this for my husband . the price was unbeatable .. great deal , awesome cologne . arrived on time . who could ask for more . thanks amazon !","[242, 220]"
"76	vicks baby rectal thermometer i own this thermometer , the braun ear thermometer and a safety first thermometer . this one is by far the best . it is the perfect size and fit in your hand , and there is like no chance of inserting it too far . it gives a quick accurate reading and really just works so good . the safety first one works but is long and skinny , alittle scary putting in a babies behind ! ane i have to be honest i have never used the ear thermometer because generally the dr . wants a rectal because it is the most accurate and they say the ear thermometers are really hard to use , so i would n't recommend wasting the money on it . get this one , you wo n't be sorry !",[452]
"77	thinkfun amaze two reviews gave one star and reasoned that the game was basically too easy . it 's clear on one review that they repeatedly had not thought ahead and created a dead end for which the only option was the reset of all obstacles . twenty seven ( 27 ) people found that helpful . i just want to point out to all you people so fond of knocking things , that this seller may have lost 27 purchases because you could n't follow directions . 270 might have prevented a layoff . just something to think about before you broadcast to the world that you or your kids were n't challenged because you or your kids were in all reality so challenged you could n't think it through .",[340]
"78	kapla 200 blocks set i bought this for our 5 year old grandson for his birthday , and it is one of his favorite toys ever . it encourages creativity and imaginative play , and i can see that he 'll enjoy it for many years . it seemed pricey , but is definitely worth it deceptively simple . i wish there were more depictions of projects included .","[267, 301, 467]"
